benchmark,loc_wrong,loc_correct,symb_wrong,symb_correct,matches,time,precision,recall,f1
ALEXTASK,40,37,124,138,105,6.47,0.98,1.00,0.99
ANKTRAIN,30,41,81,109,61,2.38,1.00,0.92,0.96
CHEFAPAR,36,33,153,150,103,5.34,0.98,0.89,0.93
CHRL4,29,49,31,53,26,0.67,0.97,0.99,0.98
DISHOWN,47,53,59,77,35,1.37,0.92,0.74,0.82
ENTEXAM,53,67,91,100,76,3.46,0.98,0.90,0.94
KOL16B,29,34,51,54,37,1.52,1.00,0.90,0.95
NOTINCOM,36,29,58,61,49,2.53,0.99,0.98,0.99
RGAME,32,38,22,23,17,0.32,1.00,0.93,0.96
TRISQ,20,24,82,183,57,5.07,0.93,0.87,0.89
