benchmark,loc_wrong,loc_correct,symb_wrong,symb_correct,matches,time,precision,recall,f1
ALEXTASK,40,37,124,138,104,2.48,0.99,0.98,0.99
ANKTRAIN,30,41,81,109,61,1.49,1.00,0.92,0.96
CHEFAPAR,36,33,153,150,104,2.43,0.94,0.86,0.90
CHRL4,29,49,31,53,26,0.40,0.94,0.95,0.94
DISHOWN,47,53,59,77,31,0.76,0.93,0.67,0.78
ENTEXAM,53,67,91,100,75,1.79,0.95,0.87,0.90
KOL16B,29,34,51,54,37,0.78,1.00,0.90,0.95
NOTINCOM,36,29,58,61,48,1.18,0.93,0.90,0.91
RGAME,32,38,22,23,17,0.28,1.00,0.93,0.96
TRISQ,20,24,82,183,54,1.28,0.93,0.84,0.87
