benchmark,loc_wrong,loc_correct,symb_wrong,symb_correct,matches,time,precision,recall,f1
ALEXTASK,40,37,124,138,105,5.99,0.98,1.00,0.99
ANKTRAIN,30,41,81,109,61,1.95,1.00,0.92,0.96
CHEFAPAR,36,33,153,150,103,4.72,0.97,0.87,0.92
CHRL4,29,49,31,53,26,0.51,0.97,0.99,0.98
DISHOWN,47,53,59,77,34,1.22,0.92,0.72,0.81
ENTEXAM,53,67,91,100,74,2.74,0.97,0.87,0.91
KOL16B,29,34,51,54,37,1.25,1.00,0.90,0.95
NOTINCOM,36,29,58,61,49,2.29,0.92,0.90,0.91
RGAME,32,38,22,23,17,0.31,1.00,0.93,0.96
TRISQ,20,24,82,183,53,3.63,0.93,0.83,0.87
