benchmark,loc_wrong,loc_correct,symb_wrong,symb_correct,matches,time,precision,recall,f1
ALEXTASK,40,37,124,138,105,7.71,0.98,1.00,0.99
ANKTRAIN,30,41,81,109,61,2.48,1.00,0.92,0.96
CHEFAPAR,36,33,153,150,103,6.33,0.97,0.87,0.92
CHRL4,29,49,31,53,25,0.65,0.97,0.96,0.96
DISHOWN,47,53,59,77,34,1.46,0.92,0.73,0.81
ENTEXAM,53,67,91,100,76,3.29,0.96,0.88,0.92
KOL16B,29,34,51,54,36,1.73,1.00,0.88,0.93
NOTINCOM,36,29,58,61,49,3.04,0.92,0.90,0.91
RGAME,32,38,22,23,17,0.32,1.00,0.93,0.96
TRISQ,20,24,82,183,53,5.19,0.95,0.85,0.89
