benchmark,loc_wrong,loc_correct,symb_wrong,symb_correct,matches,time,precision,recall,f1
ALEXTASK,40,37,124,138,80,5.00,0.97,0.79,0.87
ANKTRAIN,30,41,81,109,28,1.54,1.00,0.58,0.71
CHEFAPAR,36,33,153,150,82,4.27,0.99,0.71,0.82
CHRL4,29,49,31,53,19,0.43,0.97,0.77,0.84
DISHOWN,47,53,59,77,33,1.38,0.86,0.66,0.75
ENTEXAM,53,67,91,100,66,3.29,0.98,0.78,0.87
KOL16B,29,34,51,54,33,1.33,1.00,0.80,0.89
NOTINCOM,36,29,58,61,47,2.32,0.99,0.95,0.97
RGAME,32,38,22,23,13,0.24,1.00,0.70,0.81
TRISQ,20,24,82,183,44,4.79,0.90,0.71,0.78
