benchmark,loc_wrong,loc_correct,symb_wrong,symb_correct,matches,time,precision,recall,f1
ALEXTASK,40,37,124,138,103,0.61,0.98,0.98,0.98
ANKTRAIN,30,41,81,109,61,0.33,1.00,0.92,0.96
CHEFAPAR,36,33,153,150,103,0.76,0.97,0.87,0.92
CHRL4,29,49,31,53,26,0.13,0.94,0.96,0.95
DISHOWN,47,53,59,77,32,0.33,0.93,0.70,0.79
ENTEXAM,53,67,91,100,73,0.46,0.97,0.85,0.90
KOL16B,29,34,51,54,37,0.19,1.00,0.90,0.95
NOTINCOM,36,29,58,61,48,0.33,0.92,0.89,0.90
RGAME,32,38,22,23,17,0.08,1.00,0.93,0.96
TRISQ,20,24,82,183,51,0.34,0.94,0.81,0.86
